BEST_POSITION,FOOT,ATTACKING_WORK_RATE,DEFENSIVE_WORK_RATE,AGE,OVERALL,VALUE,POTENTIAL,HEIGHT,WEIGHT,SKILL_MOVES,WEEK_FOOT_ABILITY
DEFENSIVE,Right,Medium,High,25,71,2700000.0,74,5.11,161,3.0,3.0
MIDFIELD,Right,High,Medium,29,73,3900000.0,73,6.1,181,3.0,4.0
MIDFIELD,Right,Medium,Medium,28,78,5437500.0,78,5.1,165,4.0,4.0
GOAL KEEPER,Right,Medium,Medium,34,66,275000.0,66,6.1,183,1.0,2.0
FORWARD,Right,Medium,Medium,32,70,0.0,70,6.0,172,3.0,3.0
DEFENSIVE,Left,Medium,Medium,28,73,4000000.0,75,6.0,201,2.0,3.0
DEFENSIVE,Right,Medium,Medium,25,65,600000.0,68,5.11,165,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,25,65,525000.0,70,6.0,154,1.0,4.0
MIDFIELD,Left,Medium,Medium,25,64,575000.0,67,5.11,157,3.0,3.0
GOAL KEEPER,Left,Medium,Medium,24,72,3500000.0,80,6.5,159,1.0,2.0
MIDFIELD,Right,High,High,25,64,575000.0,68,5.11,165,3.0,3.0
MIDFIELD,Right,High,Medium,27,65,600000.0,66,5.5,154,3.0,4.0
MIDFIELD,Left,Medium,Low,25,71,2800000.0,72,5.11,157,3.0,4.0
MIDFIELD,Left,Medium,Medium,28,70,1800000.0,70,6.2,163,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,25,82,5437500.0,86,6.1,194,1.0,4.0
MIDFIELD,Right,Medium,Medium,26,77,5437500.0,78,5.9,157,4.0,5.0
MIDFIELD,Right,High,Medium,26,76,5437500.0,77,5.1,157,4.0,4.0
MIDFIELD,Left,High,High,25,75,5437500.0,76,5.11,170,3.0,2.0
DEFENSIVE,Right,High,Medium,27,69,1000000.0,70,6.2,165,2.0,3.0
FORWARD,Left,High,High,27,71,2500000.0,71,6.5,196,2.0,2.0
FORWARD,Right,Medium,Medium,27,70,2100000.0,71,6.0,176,3.0,5.0
FORWARD,Right,High,Low,28,68,925000.0,68,5.1,154,2.0,2.0
MIDFIELD,Right,High,High,28,65,525000.0,65,5.8,150,3.0,4.0
MIDFIELD,Right,Medium,Medium,29,67,750000.0,67,5.1,170,3.0,4.0
MIDFIELD,Right,Medium,Medium,31,77,5437500.0,77,5.1,159,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,26,77,5437500.0,79,6.5,198,1.0,3.0
MIDFIELD,Right,Medium,Medium,25,68,1100000.0,69,6.2,179,3.0,2.0
DEFENSIVE,Left,Medium,Medium,26,75,5437500.0,78,6.4,192,2.0,3.0
FORWARD,Right,Medium,Low,30,75,5437500.0,75,5.9,179,4.0,4.0
DEFENSIVE,Right,Low,High,30,72,2500000.0,72,6.4,185,2.0,3.0
MIDFIELD,Right,High,High,26,83,5437500.0,86,5.9,176,4.0,4.0
MIDFIELD,Right,High,Medium,25,78,5437500.0,81,5.8,148,4.0,4.0
FORWARD,Right,Medium,Low,26,64,575000.0,67,6.0,196,3.0,3.0
DEFENSIVE,Right,Medium,Medium,26,71,2600000.0,74,6.2,176,2.0,3.0
MIDFIELD,Right,Medium,Medium,26,79,5437500.0,82,5.11,165,4.0,4.0
MIDFIELD,Right,High,Medium,26,73,4300000.0,73,5.6,143,3.0,3.0
MIDFIELD,Right,Medium,Medium,26,78,5437500.0,79,5.8,143,3.0,4.0
MIDFIELD,Right,High,Medium,27,73,4200000.0,73,6.1,154,3.0,3.0
DEFENSIVE,Right,High,High,32,72,1900000.0,72,5.1,159,3.0,3.0
FORWARD,Right,High,Low,30,69,1000000.0,69,5.7,132,3.0,3.0
MIDFIELD,Right,Medium,High,26,63,450000.0,66,5.9,154,3.0,3.0
MIDFIELD,Right,Medium,Medium,26,62,375000.0,65,6.0,154,2.0,3.0
FORWARD,Right,High,Medium,25,59,190000.0,61,6.0,176,3.0,3.0
MIDFIELD,Right,Medium,Medium,29,70,1500000.0,70,5.9,154,3.0,4.0
MIDFIELD,Left,Medium,Medium,31,77,5437500.0,77,6.2,181,4.0,3.0
DEFENSIVE,Right,High,Medium,29,71,2000000.0,71,5.9,163,3.0,5.0
MIDFIELD,Right,High,High,27,77,5437500.0,77,5.9,137,4.0,3.0
FORWARD,Right,Medium,Low,27,66,750000.0,67,6.0,176,2.0,4.0
FORWARD,Right,Medium,Medium,27,71,2800000.0,72,6.2,176,3.0,3.0
FORWARD,Right,High,Low,27,68,1000000.0,69,5.1,165,3.0,3.0
MIDFIELD,Left,High,Medium,25,76,5437500.0,77,5.1,190,3.0,3.0
MIDFIELD,Right,High,High,28,76,0.0,76,6.0,174,3.0,3.0
DEFENSIVE,Left,Medium,High,27,72,3300000.0,74,6.4,185,2.0,1.0
GOAL KEEPER,Right,Medium,Medium,30,78,5437500.0,78,6.5,190,1.0,2.0
MIDFIELD,Right,Medium,Medium,29,65,525000.0,65,6.1,163,3.0,3.0
MIDFIELD,Right,High,High,25,69,1300000.0,72,5.9,163,3.0,3.0
FORWARD,Right,High,Medium,28,76,5437500.0,76,6.3,190,2.0,2.0
MIDFIELD,Right,Medium,Medium,28,80,5437500.0,80,6.2,174,3.0,4.0
DEFENSIVE,Left,High,High,25,74,5437500.0,76,5.1,152,3.0,4.0
DEFENSIVE,Right,Medium,High,27,78,5437500.0,79,6.3,181,2.0,2.0
GOAL KEEPER,Right,Medium,Medium,29,66,450000.0,66,6.4,185,1.0,3.0
MIDFIELD,Right,High,High,27,66,650000.0,66,5.7,146,3.0,3.0
DEFENSIVE,Right,Medium,Medium,25,75,5437500.0,79,6.3,165,2.0,4.0
DEFENSIVE,Right,Medium,Medium,30,66,525000.0,66,6.2,185,2.0,3.0
DEFENSIVE,Right,Low,Medium,26,73,4700000.0,78,6.1,179,2.0,3.0
MIDFIELD,Left,High,Medium,24,66,875000.0,71,5.8,176,3.0,4.0
GOAL KEEPER,Left,Medium,Medium,28,66,575000.0,69,6.6,218,1.0,3.0
MIDFIELD,Left,High,High,26,64,525000.0,65,6.1,176,2.0,4.0
FORWARD,Right,High,Low,25,69,1300000.0,72,6.1,172,3.0,3.0
MIDFIELD,Right,High,Medium,28,69,1100000.0,69,5.8,157,3.0,3.0
MIDFIELD,Left,Medium,Low,27,70,1900000.0,70,5.9,139,3.0,2.0
DEFENSIVE,Right,High,Medium,25,63,400000.0,65,5.1,176,2.0,3.0
DEFENSIVE,Right,High,Medium,25,74,5437500.0,77,5.11,159,3.0,3.0
FORWARD,Left,Medium,Low,26,64,550000.0,65,5.11,161,3.0,4.0
MIDFIELD,Right,High,Low,30,73,3800000.0,73,5.8,143,3.0,3.0
MIDFIELD,Right,Medium,Medium,28,68,900000.0,68,5.9,154,3.0,3.0
MIDFIELD,Right,Medium,Medium,26,65,550000.0,66,6.1,187,2.0,3.0
FORWARD,Right,Medium,Low,33,77,5437500.0,77,5.11,170,3.0,3.0
FORWARD,Right,Medium,Low,28,73,4100000.0,73,5.1,161,3.0,3.0
FORWARD,Right,Medium,Low,32,64,350000.0,64,5.8,154,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,27,74,4700000.0,76,6.2,165,1.0,2.0
DEFENSIVE,Left,Medium,High,31,76,5437500.0,76,5.1,159,3.0,3.0
MIDFIELD,Left,Medium,Medium,22,56,140000.0,65,6.2,179,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,27,67,650000.0,69,6.1,179,1.0,2.0
FORWARD,Left,High,Medium,26,73,4700000.0,74,5.1,165,3.0,3.0
FORWARD,Right,High,Medium,33,72,1900000.0,72,6.0,183,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,27,63,325000.0,66,6.1,174,1.0,3.0
DEFENSIVE,Right,Medium,Medium,27,73,4300000.0,76,6.3,183,2.0,3.0
FORWARD,Right,High,Medium,29,77,5437500.0,77,5.1,163,3.0,3.0
MIDFIELD,Left,Medium,High,26,75,5437500.0,76,6.0,170,3.0,2.0
MIDFIELD,Left,High,Medium,25,69,1300000.0,72,5.6,128,3.0,3.0
FORWARD,Right,High,Medium,30,66,625000.0,66,6.2,187,3.0,4.0
DEFENSIVE,Right,Medium,High,26,66,700000.0,68,6.1,183,2.0,3.0
DEFENSIVE,Right,Medium,High,27,70,1600000.0,70,5.11,170,3.0,2.0
DEFENSIVE,Right,Low,High,32,67,500000.0,67,6.2,179,2.0,3.0
FORWARD,Right,High,Low,26,66,775000.0,67,6.0,168,3.0,3.0
MIDFIELD,Right,Medium,Medium,27,66,725000.0,67,5.7,154,3.0,3.0
DEFENSIVE,Left,Low,High,26,68,925000.0,69,5.8,170,3.0,2.0
FORWARD,Right,Low,Low,30,62,300000.0,62,5.9,163,3.0,3.0
DEFENSIVE,Right,Medium,High,30,67,600000.0,67,5.9,150,2.0,4.0
DEFENSIVE,Right,Low,Medium,30,71,1900000.0,71,6.2,181,2.0,3.0
DEFENSIVE,Right,High,Medium,25,75,5437500.0,78,6.0,185,3.0,3.0
FORWARD,Right,Medium,High,26,78,5437500.0,80,6.4,185,3.0,3.0
DEFENSIVE,Right,Medium,Medium,27,72,0.0,72,6.4,194,2.0,3.0
DEFENSIVE,Left,High,Medium,26,69,1100000.0,72,5.11,170,3.0,2.0
DEFENSIVE,Left,High,Medium,27,64,400000.0,64,6.0,179,3.0,3.0
MIDFIELD,Right,High,Medium,26,79,5437500.0,80,5.4,154,3.0,4.0
MIDFIELD,Right,Medium,High,25,65,650000.0,66,6.1,179,2.0,3.0
FORWARD,Right,Medium,Low,26,60,250000.0,62,6.1,165,2.0,3.0
FORWARD,Right,Medium,Medium,26,70,2200000.0,72,5.9,163,4.0,2.0
FORWARD,Left,High,Medium,29,68,900000.0,68,5.9,174,3.0,3.0
DEFENSIVE,Right,Medium,Medium,26,82,5437500.0,83,6.3,190,2.0,3.0
DEFENSIVE,Right,Medium,High,31,84,5437500.0,84,6.3,183,2.0,3.0
DEFENSIVE,Right,Medium,High,26,85,5437500.0,89,6.0,165,3.0,3.0
MIDFIELD,Right,Medium,Low,27,63,375000.0,63,6.0,161,3.0,2.0
FORWARD,Right,High,Medium,27,71,2500000.0,71,6.0,179,4.0,3.0
DEFENSIVE,Right,High,Medium,27,71,2100000.0,71,5.1,165,3.0,4.0
FORWARD,Right,High,Medium,27,81,5437500.0,82,5.7,152,3.0,4.0
MIDFIELD,Left,Medium,Medium,26,68,1100000.0,71,5.11,161,3.0,3.0
FORWARD,Left,High,Medium,27,69,1100000.0,69,5.9,165,3.0,4.0
MIDFIELD,Right,Medium,Medium,30,76,5437500.0,76,6.2,192,2.0,3.0
DEFENSIVE,Left,Medium,Medium,28,68,775000.0,68,6.1,179,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,27,67,650000.0,69,6.2,190,1.0,2.0
MIDFIELD,Right,Medium,Medium,28,66,650000.0,66,5.9,139,3.0,4.0
MIDFIELD,Right,High,Medium,28,66,650000.0,66,5.9,150,3.0,3.0
MIDFIELD,Right,High,High,25,66,800000.0,69,5.11,176,3.0,3.0
DEFENSIVE,Right,High,Medium,28,73,3400000.0,73,6.0,154,3.0,3.0
DEFENSIVE,Left,High,Medium,28,75,5437500.0,75,5.1,159,3.0,1.0
GOAL KEEPER,Right,Medium,Medium,26,71,2100000.0,74,6.5,205,1.0,2.0
MIDFIELD,Left,Medium,Medium,27,73,4600000.0,74,6.2,194,4.0,4.0
MIDFIELD,Left,Medium,Medium,30,72,2900000.0,72,5.11,168,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,33,75,3600000.0,75,6.3,190,1.0,3.0
MIDFIELD,Right,Medium,High,30,76,5437500.0,76,6.1,163,3.0,3.0
MIDFIELD,Right,Medium,Medium,27,67,850000.0,68,5.11,161,3.0,3.0
MIDFIELD,Left,High,Medium,24,76,5437500.0,79,5.11,161,4.0,1.0
DEFENSIVE,Right,Medium,Low,28,64,425000.0,67,6.0,159,2.0,3.0
FORWARD,Right,High,High,26,56,100000.0,56,6.0,176,2.0,3.0
DEFENSIVE,Right,Medium,Medium,26,73,4400000.0,76,6.4,183,2.0,2.0
DEFENSIVE,Right,Medium,Medium,28,69,925000.0,69,6.2,187,2.0,3.0
MIDFIELD,Right,Medium,Medium,26,68,1100000.0,70,5.9,163,3.0,3.0
MIDFIELD,Right,High,Medium,26,72,3700000.0,73,5.8,159,3.0,3.0
MIDFIELD,Left,Medium,Medium,25,69,1300000.0,72,5.9,174,3.0,3.0
DEFENSIVE,Left,Medium,Medium,20,58,100000.0,66,5.5,134,2.0,3.0
FORWARD,Right,Medium,Medium,19,58,120000.0,69,5.7,137,2.0,3.0
DEFENSIVE,Left,High,Medium,27,78,5437500.0,79,6.0,190,3.0,2.0
FORWARD,Right,High,Medium,23,69,1400000.0,75,5.7,143,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,27,74,4600000.0,75,6.3,194,1.0,3.0
DEFENSIVE,Left,High,Medium,25,73,4400000.0,76,5.9,150,2.0,3.0
DEFENSIVE,Right,Medium,Medium,28,77,5437500.0,77,6.0,165,2.0,4.0
FORWARD,Right,Medium,Medium,26,65,625000.0,66,5.1,150,3.0,3.0
DEFENSIVE,Right,Medium,Medium,26,68,1000000.0,71,6.3,172,2.0,3.0
FORWARD,Right,Medium,Medium,31,71,2100000.0,71,6.3,198,3.0,3.0
MIDFIELD,Right,Medium,Medium,26,68,1000000.0,71,6.2,168,2.0,4.0
DEFENSIVE,Right,Low,High,26,72,3400000.0,75,5.11,163,2.0,4.0
FORWARD,Right,High,Medium,26,65,675000.0,67,5.1,154,3.0,3.0
MIDFIELD,Left,Medium,Medium,26,74,5437500.0,75,5.1,176,4.0,3.0
MIDFIELD,Right,High,Medium,30,71,2200000.0,71,5.11,163,3.0,3.0
DEFENSIVE,Right,High,High,28,74,4800000.0,74,5.11,165,3.0,3.0
MIDFIELD,Right,High,Medium,26,73,4800000.0,75,5.9,161,4.0,3.0
FORWARD,Right,High,Medium,28,74,5437500.0,74,5.1,154,3.0,4.0
MIDFIELD,Right,Medium,Medium,29,71,2300000.0,71,5.9,150,3.0,4.0
DEFENSIVE,Left,Low,Medium,27,63,375000.0,65,6.0,168,2.0,2.0
MIDFIELD,Right,Medium,Medium,25,69,1200000.0,72,6.0,161,3.0,3.0
FORWARD,Left,High,Medium,28,83,5437500.0,83,5.11,170,3.0,4.0
MIDFIELD,Right,Medium,Medium,27,62,325000.0,62,5.9,143,3.0,3.0
MIDFIELD,Right,Medium,Medium,27,65,625000.0,66,5.1,168,3.0,3.0
DEFENSIVE,Right,Medium,High,29,70,1500000.0,70,6.4,192,2.0,2.0
FORWARD,Left,Medium,Medium,23,64,600000.0,69,5.11,163,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,27,79,5437500.0,82,6.3,185,1.0,3.0
DEFENSIVE,Right,High,Medium,28,72,2700000.0,72,5.1,161,3.0,3.0
DEFENSIVE,Left,Medium,Medium,27,65,475000.0,65,5.11,165,2.0,3.0
FORWARD,Right,Medium,Medium,27,70,2100000.0,71,6.4,192,2.0,3.0
MIDFIELD,Right,Medium,Medium,26,79,5437500.0,79,5.1,168,4.0,4.0
FORWARD,Right,High,Low,26,63,450000.0,64,6.1,185,2.0,3.0
MIDFIELD,Right,High,Medium,27,78,5437500.0,80,6.0,168,3.0,3.0
MIDFIELD,Right,Medium,Medium,25,73,4700000.0,77,6.3,170,2.0,3.0
MIDFIELD,Left,Medium,High,26,79,5437500.0,80,6.2,181,3.0,5.0
MIDFIELD,Right,Medium,Low,26,75,5437500.0,76,5.1,165,4.0,4.0
DEFENSIVE,Right,Medium,Medium,26,70,2000000.0,73,6.0,165,2.0,3.0
FORWARD,Right,Medium,Low,27,68,950000.0,68,6.5,209,2.0,4.0
FORWARD,Right,Medium,Low,28,67,800000.0,67,5.1,159,4.0,3.0
FORWARD,Right,High,Medium,26,67,925000.0,69,5.11,168,3.0,3.0
FORWARD,Right,High,High,25,70,2300000.0,73,6.2,190,3.0,3.0
MIDFIELD,Left,High,Low,26,72,3800000.0,74,6.0,165,3.0,3.0
DEFENSIVE,Right,Medium,Medium,27,76,5437500.0,78,6.3,183,2.0,3.0
DEFENSIVE,Left,Medium,Medium,27,65,550000.0,66,6.4,181,2.0,3.0
FORWARD,Right,Medium,Medium,29,63,350000.0,63,5.1,157,2.0,3.0
MIDFIELD,Right,Medium,Medium,28,75,5437500.0,75,5.9,161,3.0,4.0
DEFENSIVE,Right,Medium,High,31,77,5437500.0,77,6.2,183,2.0,3.0
DEFENSIVE,Right,High,Medium,27,68,950000.0,70,6.2,181,2.0,3.0
MIDFIELD,Left,High,Medium,27,72,3600000.0,73,5.11,172,3.0,4.0
FORWARD,Right,High,Medium,28,68,925000.0,68,6.1,172,3.0,3.0
MIDFIELD,Right,Medium,High,26,73,4600000.0,77,5.11,163,3.0,3.0
MIDFIELD,Right,Medium,Medium,25,78,5437500.0,82,6.1,176,3.0,3.0
DEFENSIVE,Left,Medium,High,30,78,5437500.0,78,6.2,185,3.0,3.0
MIDFIELD,Left,Medium,High,24,64,600000.0,69,5.8,154,3.0,3.0
DEFENSIVE,Right,Medium,Medium,27,72,0.0,74,6.2,190,2.0,3.0
MIDFIELD,Right,High,Medium,25,65,700000.0,70,6.0,161,3.0,3.0
FORWARD,Right,High,Medium,25,71,3100000.0,75,6.0,159,3.0,3.0
DEFENSIVE,Right,Medium,Medium,25,68,1100000.0,73,5.11,185,2.0,3.0
DEFENSIVE,Right,High,Medium,27,67,625000.0,67,5.8,150,2.0,3.0
DEFENSIVE,Left,High,Medium,26,70,1900000.0,72,6.0,172,2.0,3.0
MIDFIELD,Left,Medium,Low,25,80,5437500.0,83,6.1,168,4.0,4.0
DEFENSIVE,Right,Medium,High,26,82,5437500.0,84,6.1,190,3.0,4.0
MIDFIELD,Left,Medium,Medium,30,77,5437500.0,77,6.1,165,3.0,4.0
DEFENSIVE,Right,Low,Medium,27,72,2800000.0,72,5.11,163,2.0,2.0
FORWARD,Right,High,High,29,72,3100000.0,72,6.0,165,3.0,3.0
DEFENSIVE,Right,Medium,Medium,27,63,375000.0,65,6.3,165,2.0,3.0
DEFENSIVE,Right,High,High,27,77,5437500.0,79,5.11,161,3.0,3.0
MIDFIELD,Left,High,Medium,29,67,750000.0,67,5.7,141,3.0,2.0
FORWARD,Right,Medium,Medium,30,70,1700000.0,70,6.1,187,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,26,75,5437500.0,79,6.4,203,1.0,2.0
DEFENSIVE,Right,Low,Medium,32,71,1500000.0,71,6.1,170,2.0,3.0
MIDFIELD,Right,Medium,Medium,24,68,1000000.0,73,5.11,165,3.0,3.0
FORWARD,Left,Medium,Low,32,71,1900000.0,71,6.0,207,3.0,3.0
MIDFIELD,Right,High,Low,26,82,5437500.0,82,5.11,159,4.0,4.0
MIDFIELD,Left,High,High,25,84,5437500.0,87,6.0,168,3.0,4.0
MIDFIELD,Right,Medium,Medium,26,69,1200000.0,71,5.9,150,3.0,3.0
DEFENSIVE,Left,Medium,Medium,30,69,850000.0,69,6.3,183,2.0,2.0
MIDFIELD,Left,Medium,High,30,69,1000000.0,69,5.11,174,3.0,3.0
DEFENSIVE,Right,High,Medium,31,73,3000000.0,73,6.4,176,3.0,2.0
MIDFIELD,Right,Medium,Medium,28,79,5437500.0,79,5.1,168,4.0,4.0
DEFENSIVE,Right,Low,High,27,75,5437500.0,76,6.3,174,2.0,2.0
MIDFIELD,Right,Medium,High,24,75,5437500.0,78,5.1,157,4.0,4.0
FORWARD,Right,High,Medium,26,76,5437500.0,77,6.0,170,3.0,3.0
DEFENSIVE,Left,Medium,Medium,27,72,3100000.0,73,6.4,198,3.0,3.0
MIDFIELD,Right,Medium,High,29,81,5437500.0,81,6.1,168,3.0,3.0
DEFENSIVE,Right,Medium,High,26,68,950000.0,70,6.3,172,2.0,3.0
DEFENSIVE,Left,High,High,29,71,2000000.0,71,5.8,163,3.0,2.0
MIDFIELD,Right,Medium,High,26,68,1100000.0,71,5.11,159,2.0,3.0
FORWARD,Left,High,Low,25,61,0.0,62,5.8,157,2.0,3.0
FORWARD,Right,Medium,Low,28,79,5437500.0,79,6.0,168,4.0,4.0
DEFENSIVE,Right,Medium,Medium,27,72,3100000.0,73,5.1,161,3.0,3.0
MIDFIELD,Right,Medium,Low,23,74,4700000.0,80,5.7,134,4.0,3.0
FORWARD,Right,High,High,30,70,1700000.0,70,5.11,165,3.0,3.0
DEFENSIVE,Right,Medium,High,25,77,5437500.0,80,5.1,148,3.0,3.0
MIDFIELD,Right,Medium,Medium,26,64,550000.0,67,5.1,170,3.0,3.0
DEFENSIVE,Right,High,High,30,78,5437500.0,78,6.0,154,2.0,3.0
DEFENSIVE,Right,Medium,Medium,35,67,230000.0,67,6.2,181,2.0,3.0
DEFENSIVE,Left,Medium,Medium,27,73,4300000.0,76,6.3,179,2.0,2.0
DEFENSIVE,Right,Medium,High,26,70,2000000.0,74,6.2,198,2.0,4.0
MIDFIELD,Left,Medium,High,27,74,5437500.0,75,5.1,172,3.0,3.0
MIDFIELD,Left,Medium,Medium,24,62,0.0,65,5.11,172,3.0,3.0
DEFENSIVE,Right,Medium,High,30,65,450000.0,65,6.2,172,2.0,4.0
FORWARD,Left,Medium,Medium,23,61,350000.0,68,5.1,168,2.0,3.0
DEFENSIVE,Right,High,Medium,29,72,2600000.0,72,5.1,165,3.0,3.0
MIDFIELD,Left,High,High,27,83,5437500.0,83,6.0,181,3.0,2.0
MIDFIELD,Right,High,Medium,29,63,350000.0,63,6.0,163,3.0,4.0
MIDFIELD,Left,Medium,Medium,26,67,900000.0,68,5.1,157,3.0,3.0
MIDFIELD,Left,Medium,Medium,27,66,750000.0,67,5.11,168,2.0,3.0
MIDFIELD,Right,Medium,Medium,30,62,275000.0,62,5.9,165,2.0,2.0
MIDFIELD,Right,High,High,25,69,1200000.0,71,5.9,146,3.0,2.0
FORWARD,Right,High,High,26,80,5437500.0,83,5.11,159,3.0,5.0
DEFENSIVE,Right,Medium,Medium,25,67,875000.0,71,6.3,185,2.0,3.0
DEFENSIVE,Right,High,Medium,35,68,275000.0,68,6.0,172,2.0,3.0
DEFENSIVE,Right,Low,Medium,26,66,725000.0,69,6.3,187,2.0,2.0
DEFENSIVE,Right,Medium,Medium,27,75,5437500.0,78,6.5,194,2.0,3.0
FORWARD,Right,High,High,29,80,5437500.0,80,5.8,154,4.0,4.0
MIDFIELD,Right,Low,Medium,27,79,5437500.0,80,5.11,168,3.0,5.0
FORWARD,Right,High,Medium,28,75,5437500.0,75,6.1,161,3.0,4.0
FORWARD,Left,Medium,Low,27,67,900000.0,68,5.11,154,3.0,3.0
MIDFIELD,Right,Medium,Medium,27,69,1100000.0,69,5.11,157,3.0,4.0
MIDFIELD,Right,Medium,Low,29,70,1700000.0,70,6.0,154,3.0,3.0
MIDFIELD,Right,High,Medium,29,65,475000.0,65,6.0,152,3.0,4.0
DEFENSIVE,Right,Medium,Medium,27,70,1600000.0,70,5.11,157,2.0,3.0
DEFENSIVE,Left,Medium,High,26,66,750000.0,71,5.1,183,2.0,2.0
FORWARD,Left,High,Medium,26,58,150000.0,59,6.5,176,2.0,3.0
FORWARD,Right,Medium,Medium,24,67,1000000.0,71,6.1,176,3.0,4.0
MIDFIELD,Left,High,High,27,85,5437500.0,86,5.11,143,5.0,2.0
FORWARD,Right,Medium,Low,26,66,825000.0,69,6.0,168,3.0,3.0
DEFENSIVE,Right,High,Medium,33,68,400000.0,68,5.7,150,3.0,3.0
MIDFIELD,Right,High,Medium,24,63,500000.0,68,5.9,134,3.0,3.0
MIDFIELD,Left,Medium,Low,29,73,3900000.0,73,6.0,183,3.0,3.0
DEFENSIVE,Right,Medium,High,33,69,0.0,69,6.1,168,2.0,2.0
GOAL KEEPER,Right,Medium,Medium,27,71,1900000.0,72,6.2,209,1.0,3.0
FORWARD,Right,High,Medium,28,90,5437500.0,90,5.9,152,4.0,4.0
DEFENSIVE,Right,High,Medium,31,65,400000.0,65,5.1,148,2.0,3.0
DEFENSIVE,Right,Medium,Medium,31,68,650000.0,68,6.0,176,3.0,3.0
DEFENSIVE,Right,Medium,Medium,26,65,575000.0,67,6.2,168,2.0,2.0
MIDFIELD,Right,Medium,High,26,71,2600000.0,73,5.11,165,2.0,3.0
MIDFIELD,Right,High,Medium,25,77,5437500.0,82,5.9,154,3.0,4.0
GOAL KEEPER,Right,Medium,Medium,32,66,400000.0,66,6.3,176,1.0,2.0
GOAL KEEPER,Left,Medium,Medium,26,68,850000.0,72,6.2,192,1.0,3.0
MIDFIELD,Right,Medium,Medium,26,77,5437500.0,80,5.1,159,4.0,4.0
MIDFIELD,Left,Medium,Medium,27,62,350000.0,63,5.6,154,3.0,3.0
FORWARD,Right,Medium,Medium,23,64,600000.0,69,6.0,152,3.0,4.0
DEFENSIVE,Left,Medium,Medium,26,69,1100000.0,70,6.1,172,2.0,2.0
MIDFIELD,Right,High,Medium,28,82,5437500.0,82,5.9,159,5.0,4.0
MIDFIELD,Right,Medium,Medium,24,62,400000.0,67,5.8,161,3.0,3.0
MIDFIELD,Left,Medium,Medium,30,68,750000.0,68,6.1,174,2.0,3.0
MIDFIELD,Right,High,Medium,27,74,5437500.0,74,5.6,146,3.0,4.0
FORWARD,Right,High,High,33,86,5437500.0,86,5.1,163,3.0,3.0
DEFENSIVE,Right,Low,High,34,62,90000.0,62,6.1,194,2.0,3.0
MIDFIELD,Left,High,High,26,64,525000.0,65,5.1,157,3.0,3.0
DEFENSIVE,Left,Medium,Medium,30,71,1900000.0,71,6.0,179,2.0,3.0
MIDFIELD,Right,High,Medium,29,69,1000000.0,69,5.9,150,3.0,3.0
DEFENSIVE,Right,High,Medium,31,71,0.0,71,5.6,143,3.0,2.0
MIDFIELD,Right,High,Medium,29,66,625000.0,66,5.1,148,3.0,3.0
DEFENSIVE,Right,Medium,Medium,26,73,4100000.0,74,6.0,159,3.0,3.0
GOAL KEEPER,Right,Medium,Medium,27,68,775000.0,71,6.2,179,1.0,2.0
FORWARD,Left,Medium,Medium,18,58,100000.0,68,5.1,176,2.0,3.0
MIDFIELD,Right,Medium,High,22,76,5437500.0,82,5.7,150,2.0,2.0
DEFENSIVE,Right,Medium,High,34,67,275000.0,67,6.1,168,2.0,3.0
FORWARD,Right,Medium,Low,33,64,275000.0,64,5.1,163,2.0,3.0
DEFENSIVE,Right,High,Medium,32,67,475000.0,67,5.5,141,2.0,3.0
MIDFIELD,Left,Medium,Medium,24,70,2400000.0,75,5.7,134,4.0,3.0
DEFENSIVE,Left,Medium,High,25,79,5437500.0,83,5.11,165,2.0,3.0
MIDFIELD,Left,High,Medium,43,64,0.0,64,5.8,154,3.0,3.0
DEFENSIVE,Left,Medium,Medium,33,62,140000.0,62,6.0,161,2.0,3.0
DEFENSIVE,Right,Medium,Medium,23,65,550000.0,67,5.1,163,2.0,4.0
MIDFIELD,Left,Medium,Low,30,69,1000000.0,69,5.7,132,4.0,3.0
DEFENSIVE,Right,Medium,High,28,65,475000.0,65,5.1,154,2.0,3.0
MIDFIELD,Right,High,Medium,30,65,500000.0,65,6.0,165,2.0,4.0
GOAL KEEPER,Right,Medium,Medium,31,60,130000.0,60,6.0,154,1.0,2.0
FORWARD,Right,Medium,Low,27,67,900000.0,68,6.0,174,2.0,4.0
DEFENSIVE,Right,High,Medium,28,64,375000.0,64,5.11,143,2.0,3.0
MIDFIELD,Right,Medium,Medium,28,57,100000.0,57,5.1,132,2.0,2.0
GOAL KEEPER,Right,Medium,Medium,27,62,275000.0,65,6.4,181,1.0,2.0
DEFENSIVE,Right,Medium,Medium,31,70,1300000.0,70,5.11,165,2.0,3.0
GOAL KEEPER,Right,Medium,Medium,29,62,220000.0,62,5.1,154,1.0,3.0
